yellowygree,#bff128
darkgold,#b59410
bluish,#2976bb
darkishblue,#014182
dullred,#bb3f3f
pikyred,#fc2647
broze,#a87900
paleteal,#82cbb2
militarygree,#667c3e
barbiepik,#fe46a5
bubblegumpik,#fe83cc
peasoupgree,#94a617
darkmustard,#a88905
shit,#7f5f00
mediumpurple,#9e43a2
verydarkgree,#062e03
dirt,#8a6e45
duskypik,#cc7a8b
redviolet,#9e0168
lemoyellow,#fdff38
pistachio,#c0fa8b
dullyellow,#eedc5b
darklimegree,#7ebd01
deimblue,#3b5b92
tealblue,#01889f
lightishblue,#3d7afd
purpleyblue,#5f34e7
lightidigo,#6d5acf
swampgree,#748500
browgree,#706c11
darkmaroo,#3c0008
hotpurple,#cb00f5
darkforestgree,#002d04
fadedblue,#658cbb
drabgree,#749551
lightlimegree,#b9ff66
sotgree,#9dc100
yellowish,#faee66
lightbluegree,#7efbb3
bordeaux,#7b002c
lightmauve,#c292a1
ocea,#017b92
marigold,#fcc006
muddygree,#657432
dullorage,#d8863b
steel,#738595
electricpurple,#aa23ff
fluorescetgree,#08ff08
yellowishbrow,#9b7a01
blush,#f29e8e
softgree,#6fc276
brightorage,#ff5b00
lemo,#fdff52
purplegrey,#866f85
acidgree,#8ffe09
palelaveder,#eecffe
violetblue,#510ac9
lightforestgree,#4f9153
burtred,#9f2305
khakigree,#728639
cerise,#de0c62
fadedpurple,#916e99
apricot,#ffb16d
darkolivegree,#3c4d03
greybrow,#7f7053
greegrey,#77926f
trueblue,#010fcc
paleviolet,#ceaefa
periwikleblue,#8f99fb
lightskyblue,#c6fcff
blurple,#5539cc
greebrow,#544e03
bluegree,#017a79
brightteal,#01f9c6
browishyellow,#c9b003
peasoup,#929901
forest,#0b5509
bareypurple,#a00498
ultramarie,#2000b1
purplish,#94568c
pukeyellow,#c2be0e
bluishgrey,#748b97
darkperiwikle,#665fd1
darklilac,#9c6da5
reddish,#c44240
lightmaroo,#a24857
dustypurple,#825f87
terracotta,#c9643b
avocado,#90b134
marieblue,#01386a
tealgree,#25a36f
slategrey,#59656d
lightergree,#75fd63
electricgree,#21fc0d
dustyblue,#5a86ad
goldeyellow,#fec615
brightyellow,#fffd01
lightlaveder,#dfc5fe
umber,#b26400
poop,#7f5e00
darkpeach,#de7e5d
juglegree,#048243
eggshell,#ffffd4
deim,#3b638c
yellowbrow,#b79400
dullpurple,#84597e
chocolatebrow,#411900
wiered,#7b0323
eoblue,#04d9ff
dirtygree,#667e2c
lightta,#fbeeac
iceblue,#d7fffe
cadetblue,#4e7496
darkmauve,#874c62
verylightblue,#d5ffff
greypurple,#826d8c
pastelpik,#ffbacd
verylightgree,#d1ffbd
darkskyblue,#448ee4
evergree,#05472a
dullpik,#d5869d
aubergie,#3d0734
mahogay,#4a0100
reddishorage,#f8481c
deepgree,#02590f
vomitgree,#89a203
purplepik,#e03fd8
dustypik,#d58a94
fadedgree,#7bb274
camogree,#526525
pikypurple,#c94cbe
pikpurple,#db4bda
browishred,#9e3623
darkrose,#b5485d
mud,#735c12
browish,#9c6d57
emeraldgree,#028f1e
palebrow,#b1916e
dullblue,#49759c
burtumber,#a0450e
mediumgree,#39ad48
clay,#b66a50
lightaqua,#8cffdb
lightolivegree,#a4be5c
browishorage,#cb7723
darkaqua,#05696b
purplishpik,#ce5dae
darksalmo,#c85a53
greeishgrey,#96ae8d
jade,#1fa774
uglygree,#7a9703
darkbeige,#ac9362
emerald,#01a049
palered,#d9544d
lightmageta,#fa5ff7
sky,#82cafc
lightcya,#acfffc
yelloworage,#fcb001
reddishpurple,#910951
reddishpik,#fe2c54
orchid,#c875c4
dirtyyellow,#cdc50a
oragered,#fd411e
deepred,#9a0200
oragebrow,#be6400
cobaltblue,#030aa7
eopik,#fe019a
rosepik,#f7879a
greyishpurple,#887191
raspberry,#b00149
aquagree,#12e193
salmopik,#fe7b7c
tagerie,#ff9408
browishgree,#6a6e09
redbrow,#8b2e16
greeishbrow,#696112
pumpki,#e17701
piegree,#0a481e
charcoal,#343837
babypik,#ffb7ce
corflower,#6a79f7
blueviolet,#5d06e9
chocolate,#3d1c02
greyishgree,#82a67d
scarlet,#be0119
greeyellow,#c9ff27
darkolive,#373e02
siea,#a9561e
pastelpurple,#caa0ff
terracotta,#ca6641
aquablue,#02d8e9
sagegree,#88b378
bloodred,#980002
deeppik,#cb0162
grass,#5cac2d
moss,#769958
pastelblue,#a2bffe
bluishgree,#10a674
greeblue,#06b48b
darkta,#af884a
greeishblue,#0b8b87
paleorage,#ffa756
vomit,#a2a415
forrestgree,#154406
darklaveder,#856798
darkviolet,#34013f
purpleblue,#632de9
darkcya,#0a888a
olivedrab,#6f7632
pikish,#d46a7e
cobalt,#1e488f
eopurple,#bc13fe
lightturquoise,#7ef4cc
applegree,#76cd26
dullgree,#74a662
wie,#80013f
powderblue,#b1d1fc
offwhite,#ffffe4
electricblue,#0652ff
darkturquoise,#045c5a
bluepurple,#5729ce
azure,#069af3
brightred,#ff000d
pikishred,#f10c45
corflowerblue,#5170d7
lightolive,#acbf69
grape,#6c3461
greyishblue,#5e819d
purplishblue,#601ef9
yellowishgree,#b0dd16
greeishyellow,#cdfd02
mediumblue,#2c6fbb
dustyrose,#c0737a
lightviolet,#d6b4fc
midightblue,#020035
bluishpurple,#703be7
redorage,#fd3c06
darkmageta,#960056
greeish,#40a368
oceablue,#03719c
coral,#fc5a50
cream,#ffffc2
reddishbrow,#7f2b0a
burtsiea,#b04e0f
brick,#a03623
sage,#87ae73
greygree,#789b73
white,#ffffff
robi'seggblue,#98eff9
mossgree,#658b38
steelblue,#5a7d9a
eggplat,#380835
lightyellow,#fffe7a
leafgree,#5ca904
lightgrey,#d8dcd6
puke,#a5a502
pikishpurple,#d648d7
seablue,#047495
palepurple,#b790d4
slateblue,#5b7c99
bluegrey,#607c8e
hutergree,#0b4008
fuchsia,#ed0dd9
crimso,#8c000f
paleyellow,#ffff84
ochre,#bf9005
mustardyellow,#d2bd0a
lightred,#ff474c
cerulea,#0485d1
palepik,#ffcfdc
deepblue,#040273
rust,#a83c09
lightteal,#90e4c1
slate,#516572
golderod,#fac205
darkyellow,#d5b60a
darkgrey,#363737
armygree,#4b5d16
greyblue,#6b8ba4
seafoam,#80f9ad
puce,#a57e52
spriggree,#a9f971
darkorage,#c65102
sad,#e2ca76
pastelgree,#b0ff9d
mit,#9ffeb0
lightorage,#fdaa48
brightpik,#fe01b1
chartreuse,#c1f80a
deeppurple,#36013f
darkbrow,#341c02
taupe,#b9a281
peagree,#8eab12
pukegree,#9aae07
kellygree,#02ab2e
seafoamgree,#7af9ab
bluegree,#137e6d
khaki,#aaa662
burgudy,#610023
darkteal,#014d4e
brickred,#8f1402
royalpurple,#4b006e
plum,#580f41
mitgree,#8fff9f
gold,#dbb40c
babyblue,#a2cffe
yellowgree,#c0fb2d
brightpurple,#be03fd
darkred,#840000
paleblue,#d0fefe
grassgree,#3f9b0b
avy,#01153e
aquamarie,#04d8b2
burtorage,#c04e01
eogree,#0cff0c
brightblue,#0165fc
rose,#cf6275
lightpik,#ffd1df
mustard,#ceb301
idigo,#380282
lime,#aaff32
seagree,#53fca1
periwikle,#8e82fe
darkpik,#cb416b
olivegree,#677a04
peach,#ffb07c
palegree,#c7fdb5
lightbrow,#ad8150
hotpik,#ff028d
black,#000000
lilac,#cea2fd
avyblue,#001146
royalblue,#0504aa
beige,#e6daa6
salmo,#ff796c
olive,#6e750e
maroo,#650021
brightgree,#01ff07
darkpurple,#35063e
mauve,#ae7181
forestgree,#06470c
aqua,#13eac9
cya,#00ffff
ta,#d1b26f
darkblue,#00035b
laveder,#c79fef
turquoise,#06c2ac
darkgree,#033500
violet,#9a0eea
lightpurple,#bf77f6
limegree,#89fe05
grey,#929591
skyblue,#75bbfd
yellow,#ffff14
mageta,#c20078
lightgree,#96f97b
orage,#f97306
teal,#029386
lightblue,#95d0fc
red,#e50000
brow,#653700
pik,#ff81c0
blue,#0343df
gree,#15b01a
purple,#7e1e9c
